,Program Name,Program Type,Avg Days Between Inspections
19204,UNIVERSITY CHILD CARE CENTRE - WEST CAMPUS,DAY CARE PROGRAM,64.66037735849056
19205,RANCHLANDS PLAYCARE LTD / O/A PANDA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,105.0
19206,PLAY'N LEARN CHILD CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,36.177083333333336
19207,LITTLE TREASURES INC.,DAY CARE PROGRAM,30.982142857142858
19208,BRIGHT ADVENTURES DAYCARE LTD.,OUT OF SCHOOL CARE PROGRAM,15.463157894736842
19209,BRIAR HILL CHILDREN'S PROGRAMS,OUT OF SCHOOL CARE PROGRAM,56.94915254237288
19210,SOCIETE PREMATERNELLE L'ARC-EN-CIEL,PRE-SCHOOL PROGRAM,87.0
19211,LA SOCIETE POMMES DE REINETTE DAYCARE SW,DAY CARE PROGRAM,29.135593220338983
19212,CANCARE CHILDREN'S CENTRE II,DAY CARE PROGRAM,33.59183673469388
19213,HAWKWOOD CHILDCARE CENTRE LIMITED,DAY CARE PROGRAM,37.32786885245902
19214,MINI MIRACLES DAYCARE LTD.,FACILITY-BASED PROGRAM,38.70175438596491
19215,CUPS-ONE WORLD CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,48.16326530612245
19216,MONTESSORI NURSERY #1,PRE-SCHOOL PROGRAM,139.44
19217,BRIGHTPATH FALCONRIDGE,DAY CARE PROGRAM,23.95744680851064
19218,MAHOGANY SCHOLARS PRESCHOOL,DAY CARE PROGRAM,52.3859649122807
19219,THE LEARNING TREE PRE-SCHOOL INC.,PRE-SCHOOL PROGRAM,100.14285714285714
19220,MAPLERIDGE COOPERATIVE PRESCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,127.375
19221,ST. JOHN BOSCO PRIVATE SCHOOL PRESCHOOL,PRE-SCHOOL PROGRAM,129.8
19222,BOWMONT COMMUNITY PRE-SCHOOL,PRE-SCHOOL PROGRAM,115.16666666666667
19223,SUNVALLEY KIDS MONTESSORI QUEENSLAND,DAY CARE PROGRAM,11.61437908496732
19224,ALADDIN DAY CARE,DAY CARE PROGRAM,30.44859813084112
19225,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,21.577464788732396
19226,CREATIVE LEARNING CENTRE,DAY CARE PROGRAM,29.786324786324787
19227,CHILDREN'S CHOICE OUT OF SCHOOL PROGRAM,OUT OF SCHOOL CARE PROGRAM,110.48387096774194
19228,ZEBRA CROSSING ACADEMY,DAY CARE PROGRAM,7.623076923076923
19229,SANDSTONE CHILD LEARNING CENTRE,DAY CARE PROGRAM,37.65217391304348
19230,CLEVER DAYCARE 22,DAY CARE PROGRAM,28.123456790123456
19231,FIRST STEPS ACADEMY,DAY CARE PROGRAM,28.70940170940171
19232,MOUNT ROYAL UNIVERSITY CHILD CARE CENTRE,DAY CARE PROGRAM,53.25
19233,FUNFLEX PLAYCARE,OUT OF SCHOOL CARE PROGRAM,4.34070796460177
